<U70D4> \xBE\xBC |1 # 烔->炯
<U5419> \xBB\xF0 |1 # 吙->火
<U8FC9> \xC6\xDC |1 # 迉->栖
<U5463> \xC4\xB8 |1 # 呣->母
<U8ABB> \xCC\xA4 |1 # 誻->踏
<U5535> \xB0\xB2 |1 # 唵->安
<U543D> \xBA\xF0 |1 # 吽->吼
<U6DE9> \xC1\xE8 |1 # 淩->凌
<U89BB> \xEA\xEF |1 # 覻->觑
<U73D3> \xBD\xCF |1 # 珓->较
<U7F0A> \xD4\xCC |1 # 缊->蕴
<U546F> \xC6\xB9 |1 # 呯->乒
<U5964> \xC3\xE6 |1 # 奤->面
<U73A1> \xD1\xC0 |1 # 玡->牙
<U794E> \xD2\xE6 |1 # 祎->益
<U70DD> \xD5\xF4 |1 # 烝->蒸
<U4F42> \xD5\xF7 |1 # 佂->征
<U7771> \xCF\xBE |1 # 睱->暇
<U6747> \xD0\xE0 |1 # 杇->朽
<U787A> \xD7\xC1 |1 # 硺->琢
<U565D> \xDF\xD0 |1 # 噝->咝
<U632E> \xB5\xDD |1 # 挮->递
<U636C> \xB8\xA9 |1 # 捬->俯
<U5801> \xBF\xC3 |1 # 堁->棵
<U58E6> \xB9\xDE |1 # 壦->罐
<U6116> \xB3\xC0 |1 # 愖->忱
<U977B> \xD7\xE8 |1 # 靻->阻
<U7A11> \xC2\xBD |1 # 稑->陆
<U735B> \xC6\xD1 |1 # 獛->蒲
<U55D9> \xC5\xD2 |1 # 嗙->乓
<U7E0F> \xCF\xB5 |1 # 縏->系
<U6D34> \xC6\xBD |1 # 洴->平
<U55A4> \xBB\xCA |1 # 喤->皇
<U6E03> \xC2\xE4 |1 # 渃->落
<U876A> \xF2\xE6 |1 # 蝪->蜴
<U68EA> \xD1\xD7 |1 # 棪->炎
<U7214> \xEA\xD8 |1 # 爔->曦
<U534D> \xCD\xF2 |1 # 卍->万
<U90E4> \xCF\xB6 |1 # 郤->隙
<U7AA3> \xCB\xE0 |1 # 窣->肃
<U68A3> \xE1\xAF |1 # 梣->岑
<U6792> \xD1\xBE |1 # 枒->丫
<U5A53> \xEC\xB3 |1 # 婓->斐
<U70DC> \xEC\xC5 |1 # 烜->炫
<U55DE> \xD7\xCC |1 # 嗞->滋
<U5F07> \xD1\xCF |1 # 弇->严
<U6DB4> \xE4\xBD |1 # 涴->浣
<U719C> \xB4\xD1 |1 # 熜->囱
<U9860> \xC6\xAE |1 # 顠->飘
<U6053> \xC6\xE0 |1 # 恓->凄
<U73E3> \xE4\xAD |1 # 珣->洵
<U6195> \xB3\xCE |1 # 憕->澄
<U602E> \xD3\xC7 |1 # 怮->忧
<U51C8> \xBE\xBB |1 # 凈->净
<U9299> \xEE\xED |1 # 銙->铐
<U684D> \xBF\xDF |1 # 桍->窟
<U554D> \xBA\xDF |1 # 啍->哼
<U54E2> \xC5\xAA |1 # 哢->弄
<U7120> \xB4\xE3 |1 # 焠->淬
<U69E6> \xE9\xC5 |1 # 槦->榕
<U5C03> \xD7\xA8 |1 # 尃->专
<U7E33> \xB8\xBF |1 # 縳->缚
<U7648> \xB7\xCF |1 # 癈->废
<U84E1> \xB2\xCE |1 # 蓡->参
<U8460> \xB2\xCE |1 # 葠->参
<U5474> \xBA\xF0 |1 # 呴->吼
<U856C> \xCB\xBF |1 # 蕬->丝
<U8DE9> \xD7\xA7 |1 # 跩->拽
<U782E> \xC5\xAC |1 # 砮->努
<U8595> \xC1\xB1 |1 # 薕->帘
<U6F7E> \xF4\xD4 |1 # 潾->粼
<U8545> \xC5\xBA |1 # 蕅->藕
<U9B5F> \xBA\xEC |1 # 魟->红
<U7423> \xC5\xE0 |1 # 琣->培
<U5D1A> \xC1\xE8 |1 # 崚->凌
<U55FB> \xCA\xC7 |1 # 嗻->是
<U4EB6> \xB5\xAB |1 # 亶->但
<U55D0> \xE0\xCB |1 # 嗐->嗨
<U6427> \xC9\xC8 |1 # 搧->扇
<U7407> \xD0\xE3 |1 # 琇->秀
<U56AD> \xB7\xF1 |1 # 嚭->否
<U73B1> \xC7\xBA |1 # 玱->呛
<U988E> \xBE\xBC |1 # 颎->炯
<U73A0> \xBD\xE9 |1 # 玠->介
<U64FF> \xCC\xDE |1 # 擿->剔
<U7C53> \xB7\xAA |1 # 籓->藩
<U608A> \xD5\xDC |1 # 悊->哲
<U4F3E> \xD8\xA7 |1 # 伾->丕
<U9618> \xE9\xBD |1 # 阘->榻
<U7DAF> \xCC\xD4 |1 # 綯->淘
<U52D4> \xC3\xE3 |1 # 勔->勉
<U97F1> \xCF\xCB |1 # 韱->纤
<U5092> \xF5\xE8 |1 # 傒->蹊
<U87DC> \xF2\xD4 |1 # 蟜->蛟
<U5AEA> \xC1\xCE |1 # 嫪->廖
<U6BD0> \xB6\xBE |1 # 毐->毒
<U9F6E> \xD2\xD0 |1 # 齮->倚
<U8C68> \xCF\xA3 |1 # 豨->希
<U8F3C> \xCE\xC2 |1 # 輼->温
<U8F2C> \xE9\xA3 |1 # 輬->椋
<U77A6> \xCF\xB2 |1 # 瞦->喜
<U666C> \xE3\xB2 |1 # 晬->悴
<U9728> \xCE\xBE |1 # 霨->尉
<U76CC> \xCD\xEB |1 # 盌->碗
<U556F> \xB9\xFA |1 # 啯->国
<U81DC> \xD4\xD3 |1 # 臜->杂
<U6623> \xD5\xE4 |1 # 昣->珍
<U7B93> \xC2\xBC |1 # 箓->录
<U9E53> \xD4\xA7 |1 # 鹓->鸳
<U5F28> \xB9\xAD |1 # 弨->弓
<U9AF5> \xB6\xFB |1 # 髵->尔
<U7446> \xD0\xC7 |1 # 瑆->星
<U7424> \xD5\xF9 |1 # 琤->争
<U92C6> \xD4\xC8 |1 # 鋆->匀
<U8B5E> \xD0\xFA |1 # 譞->喧
<U9A99> \xBF\xFB |1 # 骙->葵
<U73F0> \xB5\xB1 |1 # 珰->当
<U5953> \xD5\xA7 |1 # 奓->乍
<U8E7E> \xB6\xD7 |1 # 蹾->蹲
<U9B1B> \xC1\xD0 |1 # 鬛->列
<U7835> \xB2\xA7 |1 # 砵->钵
<U6B54> \xD0\xE9 |1 # 歔->虚
<U6EB0> \xB0\xA8 |1 # 溰->皑
<U70FA> \xC0\xCA |1 # 烺->朗
<U72BC> \xBA\xF0 |1 # 犼->吼
<U89CD> \xCC\xF3 |1 # 觍->腆
<U5692> \xF7\xE1 |1 # 嚒->麽
<U8B52> \xD2\xA5 |1 # 譒->谣
<U717B> \xCC\xC1 |1 # 煻->塘
<U5FDE> \xCE\xC4 |1 # 忞->文
<U50DD> \xE4\xFD |1 # 僝->潺
<U551A> \xDF\xC4 |1 # 唚->吣
<U8DF6> \xB4\xEF |1 # 跶->达
<U6D11> \xB7\xFC |1 # 洑->伏
<U72BA> \xBF\xB9 |1 # 犺->抗
<U58E7> \xD1\xD2 |1 # 壧->岩
<U5037> \xC4\xE3 |1 # 倷->你
<U57F6> \xD2\xD5 |1 # 埶->艺
<U7D5C> \xBD\xE0 |1 # 絜->洁
<U8D57> \xB7\xEE |1 # 赗->奉
<U8BD0> \xB1\xCB |1 # 诐->彼
<U66EA> \xC2\xDE |1 # 曪->罗
<U8BAC> \xCD\xD0 |1 # 讬->托
<U940D> \xBE\xF7 |1 # 鐍->诀
<U9607> \xC9\xE1 |1 # 阇->舍
<U6F37> \xBB\xF2 |1 # 漷->或
<U74DB> \xBB\xB7 |1 # 瓛->环
<U7AD1> \xBA\xEA |1 # 竑->宏
<U67B9> \xB0\xFC |1 # 枹->包
<U771B> \xC3\xC1 |1 # 眛->昧
<U9E83> \xE1\xF3 |1 # 麃->狍
<U7564> \xB3\xEB |1 # 畤->畴
<U644E> \xC1\xCE |1 # 摎->廖
<U9DAE> \xBA\xD7 |1 # 鶮->鹤
<U895C> \xD5\xB2 |1 # 襜->詹
<U7623> \xBB\xE1 |1 # 瘣->会
<U58A0> \xB5\xA5 |1 # 墠->单
<U99C3> \xC2\xBF |1 # 駃->驴
<U9A20> \xC2\xE2 |1 # 騠->骡
<U9A03> \xB0\xAC |1 # 騃->艾
<U6CC6> \xD2\xE7 |1 # 泆->溢
<U8C6D> \xD6\xED |1 # 豭->猪
<U6294> \xDE\xE5 |1 # 抔->掊
<U94DA> \xD6\xC1 |1 # 铚->至
<U6C6D> \xDC\xC7 |1 # 汭->芮
<U9155> \xC3\xAB |1 # 酕->毛
<U9184> \xCC\xD5 |1 # 醄->陶
<U772C> \xC1\xFD |1 # 眬->笼
<U59EE> \xBA\xE3 |1 # 姮->恒
<U88C0> \xD2\xF0 |1 # 裀->茵
<U89F1> \xB1\xCF |1 # 觱->毕
<U7F7D> \xBC\xAE |1 # 罽->籍
<U5E59> \xC4\xBB |1 # 幙->幕
<U96A4> \xCD\xC7 |1 # 隤->颓
<U548D> \xBF\xC8 |1 # 咍->咳
<U541C> \xB3\xF3 |1 # 吜->丑
<U8740> \xB6\xAB |1 # 蝀->东
<U6146> \xCC\xCF |1 # 慆->滔
<U8EC3> \xB6\xE3 |1 # 軃->躲
<U7086> \xCE\xC4 |1 # 炆->文
<U8CA4> \xD2\xC6 |1 # 貤->移
<U9AFD> \xD7\xA6 |1 # 髽->爪
<U6F08> \xBC\xC0 |1 # 漈->祭
<U5198> \xD3\xCC |1 # 冘->犹
<U5722> \xCD\xA1 |1 # 圢->汀
<U571E> \xD4\xB2 |1 # 圞->圆
<U875C> \xB8\xBA |1 # 蝜->负
<U8742> \xB0\xE6 |1 # 蝂->版
<U87DD> \xC7\xFE |1 # 蟝->渠
<U715F> \xCE\xBC |1 # 煟->渭
<U98D0> \xB2\xFC |1 # 飐->颤
<U77DF> \xE9\xC3 |1 # 矟->槊
<U508E> \xB5\xDF |1 # 傎->颠
<U79B5> \xCC\xE2 |1 # 禵->题
<U7503> \xD6\xE6 |1 # 甃->宙
<U7482> \xE7\xF7 |1 # 璂->琪
<U7752> \xC9\xC1 |1 # 睒->闪
<U5368> \xC6\xF5 |1 # 卨->契
<U5DC9> \xE5\xEE |1 # 巉->孱
<U8500> \xB2\xBF |1 # 蔀->部
<U9899> \xD3\xBA |1 # 颙->雍
<U58C8> \xE1\xB0 |1 # 壈->岚
<U58D2> \xB0\xA3 |1 # 壒->埃
<U4FF6> \xCA\xE7 |1 # 俶->淑
<U4F98> \xB2\xEF |1 # 侘->诧
<U9B72> \xF6\xD4 |1 # 魲->鲈
<U889D> \xB8\xB6 |1 # 袝->付
<U6FA8> \xCB\xC6 |1 # 澨->似
<U999A> \xB7\xD6 |1 # 馚->分
<U99A1> \xB7\xC7 |1 # 馡->非
<U99AA> \xB1\xF6 |1 # 馪->宾
<U68D0> \xE9\xBC |1 # 棐->榧
<U8E53> \xC1\xEF |1 # 蹓->溜
<U7D18> \xBA\xEA |1 # 紘->宏
<U6E49> \xCC\xF1 |1 # 湉->恬
<U6767> \xC3\xA2 |1 # 杧->芒
<U7C20> \xB8\xA6 |1 # 簠->甫
<U8A5D> \xD6\xEE |1 # 詝->诸
<U7098> \xD0\xC3 |1 # 炘->忻
<U6EA6> \xCE\xA2 |1 # 溦->微
<U6D3A> \xC3\xFB |1 # 洺->名
<U7DB7> \xB4\xE3 |1 # 綷->淬
<U6153> \xD8\xE2 |1 # 慓->剽
<U9B10> \xF7\xA2 |1 # 鬐->鳍
<U65F8> \xD1\xF4 |1 # 旸->阳
<U579E> \xB2\xE9 |1 # 垞->查
<U6E59> \xD2\xE7 |1 # 湙->溢
<U8F5D> \xD3\xDF |1 # 轝->舆
<U889B> \xB5\xCD |1 # 袛->低
<U8C1E> \xD0\xF6 |1 # 谞->婿
<U83D1> \xD4\xD6 |1 # 菑->灾
<U5890> \xBD\xF7 |1 # 墐->谨
<U95DA> \xBF\xFA |1 # 闚->窥
<U6B60> \xEA\xA1 |1 # 歠->辍
<U9857> \xD2\xCD |1 # 顗->彝
<U6459> \xC1\xAC |1 # 摙->连
<U670F> \xB7\xC6 |1 # 朏->菲
<U6585> \xD0\xA7 |1 # 斅->效
<U90A0> \xB1\xF2 |1 # 邠->彬
<U50AA> \xB2\xCE |1 # 傪->参
<U7FC3> \xBA\xEA |1 # 翃->宏
<U5005> \xB4\xE2 |1 # 倅->粹
<U69E5> \xE5\xE7 |1 # 槥->彗
<U8E60> \xF5\xC5 |1 # 蹠->跖
<U76E9> \xD6\xDC |1 # 盩->周
<U8EFF> \xC6\xB4 |1 # 軿->拼
<U6CB4> \xC1\xA4 |1 # 沴->沥
<U61B8> \xCF\xD5 |1 # 憸->险
<U988B> \xCD\xA6 |1 # 颋->挺
<U686E> \xB1\xAD |1 # 桮->杯
<U7E76> \xD2\xE2 |1 # 繶->意
<U8D52> \xD6\xDC |1 # 赒->周
<U951C> \xC6\xE6 |1 # 锜->奇
<U8F92> \xCE\xC2 |1 # 辒->温
<U8F8C> \xC1\xB9 |1 # 辌->凉
<U91B2> \xC5\xA8 |1 # 醲->浓
<U7514> \xB5\xA3 |1 # 甔->担
<U522C> \xB2\xF9 |1 # 刬->铲
<U96D8> \xBB\xF2 |1 # 雘->或
<U65FB> \xE3\xC9 |1 # 旻->闵
<U8ECF> \xC0\xD6 |1 # 軏->乐
<U6FD9> \x9E\x4C |1 # 濙->濴
<U6047> \xBF\xEF |1 # 恇->匡
<U62B6> \xB3\xE2 |1 # 抶->斥
<U596D> \xCA\xC7 |1 # 奭->是
<U7C5D> \xD3\xAE |1 # 籝->赢
<U6412> \xB0\xF1 |1 # 搒->榜
<U8EAD> \xB5\xA2 |1 # 躭->耽
<U784B> \xB0\xAD |1 # 硋->碍
<U50FD> \xD6\xE8 |1 # 僽->骤
<U6313> \xD5\xC5 |1 # 挓->张
<U92F9> \xB3\xA4 |1 # 鋹->长
<U9B46> \xD0\xE9 |1 # 魆->虚
<U7B61> \xF3\xFA |1 # 筡->篾
<U9A95> \xCB\xE0 |1 # 骕->肃
<U9AA6> \xCB\xAA |1 # 骦->霜
<U68F4> \xB7\xFE |1 # 棴->服
<U7263> \xC8\xCD |1 # 牣->韧
<U911A> \xC4\xAA |1 # 鄚->莫
<U6F1F> \xCC\xC3 |1 # 漟->堂
<U8E7B> \xF5\xCE |1 # 蹻->跷
<U7AEB> \xBE\xB8 |1 # 竫->靖
<U9E47> \xCF\xD0 |1 # 鹇->闲
<U9E02> \xCF\xAA |1 # 鸂->溪
<U7440> \xD3\xF1 |1 # 瑀->玉
<U6959> \xC3\xAC |1 # 楙->矛
<U90FF> \xC3\xBC |1 # 郿->眉
<U9852> \xD3\xBA |1 # 顒->雍
<U90BD> \xB9\xE7 |1 # 邽->圭
<U9DB5> \xB3\xFB |1 # 鶵->雏
<U7616> \xE0\xB3 |1 # 瘖->喑
<U5AEE> \xBB\xA7 |1 # 嫮->户
<U6D96> \xDD\xB0 |1 # 涖->莅
<U849E> \xDD\xB0 |1 # 蒞->莅
<U62D5> \xCD\xCF |1 # 拕->拖
<U71AF> \xBA\xB5 |1 # 熯->旱
<U6FCA> \xBB\xE0 |1 # 濊->秽
<U6DB7> \xB6\xAB |1 # 涷->东
<U50F6> \xF6\xBC |1 # 僶->黾
<U7D96> \xD1\xD3 |1 # 綖->延
<U7C5E> \xD4\xB7 |1 # 籞->苑
<U73F5> \xB3\xCA |1 # 珵->呈
<U8F17> \xC4\xDF |1 # 輗->倪
<U800E> \xC8\xED |1 # 耎->软
<U96DA> \xDD\xC8 |1 # 雚->萑
<U6422> \xBD\xFA |1 # 搢->晋
<U9E4D> \xC0\xA5 |1 # 鹍->昆
<U5BC0> \xB2\xC9 |1 # 寀->采
<U57F0> \xB2\xC9 |1 # 埰->采
<U720C> \xBF\xF5 |1 # 爌->旷
<U8CF8> \xCA\xA3 |1 # 賸->剩
<U7499> \xC1\xCD |1 # 璙->镣
<U6718> \xBE\xE8 |1 # 朘->捐
<U7478> \xB1\xF6 |1 # 瑸->宾
<U9F81> \xC4\xF6 |1 # 龁->啮
<U56EE> \xBB\xAF |1 # 囮->化
<U69C5> \xB8\xF4 |1 # 槅->隔
<U4F82> \xCD\xD0 |1 # 侂->托
<U6425> \xB4\xB7 |1 # 搥->捶
<U6F57> \xBC\xAF |1 # 潗->集
<U8D20> \xD4\xB1 |1 # 贠->员
<U60D3> \xBE\xEB |1 # 惓->倦
<U7D53> \xB9\xD2 |1 # 絓->挂
<U91C4> \xC3\xD2 |1 # 釄->靡
<U617D> \xC6\xDD |1 # 慽->戚
<U9ED3> \xD2\xD7 |1 # 黓->易
<U895A> \xCB\xED |1 # 襚->隧
<U7D8D> \xE7\xA8 |1 # 綍->绋
<U6F53> \xBB\xDD |1 # 潓->惠
<U5803> \xC0\xA4 |1 # 堃->坤
<U73C5> \xC0\xA4 |1 # 珅->坤
<U9D63> \xC0\xB5 |1 # 鵣->赖
<U5332> \xDE\xC6 |1 # 匲->奁
<U5D63> \xCC\xC1 |1 # 嵣->塘
<U659D> \xBC\xD9 |1 # 斝->假
<U9018> \xD2\xDD |1 # 逘->逸
<U7F91> \xD3\xD5 |1 # 羑->诱
<U9498> \xD1\xD0 |1 # 钘->研
<U7486> \xC7\xF2 |1 # 璆->球
<U7471> \xCC\xEE |1 # 瑱->填
<U59F1> \xBF\xE4 |1 # 姱->夸
<U5F30> \xC9\xD4 |1 # 弰->稍
<U67DF> \xE9\xAA |1 # 柟->楠
<U678F> \xE9\xAA |1 # 枏->楠
<U5F22> \xE8\xBA |1 # 弢->韬
<U55C3> \xD0\xA5 |1 # 嗃->啸
<U943B> \xBE\xE2 |1 # 鐻->锯
<U5015> \xB4\xB8 |1 # 倕->锤
<U9D33> \xD1\xE0 |1 # 鴳->燕
<U5F05> \xB7\xD6 |1 # 弅->分
<U7B74> \xB2\xDF |1 # 筴->策
<U6A70> \xE9\xC0 |1 # 橰->槔
<U6E3B> \xCA\xA1 |1 # 渻->省
<U7FCF> \xC1\xCE |1 # 翏->廖
<U6785> \xBB\xFD |1 # 枅->积
<U8B1E> \xBA\xC7 |1 # 謞->呵
<U8B79> \xBA\xC5 |1 # 譹->号
<U7A7E> \xDF\xBA |1 # 穾->吆
<U8E26> \xC6\xAB |1 # 踦->偏
<U9A1E> \xBB\xF2 |1 # 騞->或
<U7ABE> \xBF\xEE |1 # 窾->款
<U8B0B> \xBB\xF2 |1 # 謋->或
<U77F0> \xD4\xF8 |1 # 矰->曾
<U5135> \xD9\xBF |1 # 儵->倏
<U8321> \xD7\xD6 |1 # 茡->字
<U5CF7> \xCA\xB2 |1 # 峷->什
<U6F3B> \xC1\xCE |1 # 漻->廖
<U97E1> \xCE\xB0 |1 # 韡->伟
<U7142> \xBA\xC9 |1 # 煂->荷
<U82FE> \xB1\xD8 |1 # 苾->必
<U5AC4> \xD4\xAD |1 # 嫄->原
<U76E8> \xD0\xE9 |1 # 盨->虚
<U531C> \xD2\xCB |1 # 匜->宜
<U6250> \xC0\xD6 |1 # 扐->乐
<U8652> \xCB\xB9 |1 # 虒->斯
<U5998> \xD4\xC6 |1 # 妘->云
<U90C8> \xBA\xF3 |1 # 郈->后
<U9958> \xD5\xB3 |1 # 饘->粘
<U7ED6> \xD6\xC1 |1 # 绖->至
<U9A83> \xD2\xF2 |1 # 骃->因
<U6D98> \xE3\xF4 |1 # 涘->泗
<U4F23> \xD9\xBB |1 # 伣->倩
<U7998> \xDA\xD0 |1 # 禘->谛
<U5A7C> \xC8\xF4 |1 # 婼->若
<U769E> \xEA\xBB |1 # 皞->昊
<U7D5A> \xB8\xFC |1 # 絚->更
<U74D8> \xB9\xE0 |1 # 瓘->灌
<U7B99> \xB7\xFE |1 # 箙->服
<U6A8D> \xD2\xE2 |1 # 檍->意
<U936D> \xBA\xEE |1 # 鍭->侯
<U8300> \xB8\xA5 |1 # 茀->弗
<U561A> \xB5\xC3 |1 # 嘚->得
<U67F7> \xD7\xA3 |1 # 柷->祝
<U924F> \xB3\xFA |1 # 鉏->锄
<U7399> \xD3\xEB |1 # 玙->与
<U74A0> \xB7\xAC |1 # 璠->番
<U7FB5> \xB7\xD2 |1 # 羵->芬
<U8B99> \xBB\xB6 |1 # 讙->欢
<U65CD> \xEC\xBA |1 # 旍->旌
<U56CD> \xCF\xB2 |1 # 囍->喜
<U81B0> \xB7\xAC |1 # 膰->番
<U7502> \xB1\xE0 |1 # 甂->编
<U7786> \xB9\xF3 |1 # 瞆->贵
<U9E2E> \xBA\xC5 |1 # 鸮->号
<U9B4B> \xCD\xC7 |1 # 魋->颓
<U912B> \xD4\xF8 |1 # 鄫->曾
<U6673> \xCE\xFA |1 # 晳->晰
<U7D7F> \xC7\xF3 |1 # 絿->求
<U68BC> \xB3\xEF |1 # 梼->筹
<U76FB> \xCF\xB5 |1 # 盻->系
<U9EE1> \xD1\xE1 |1 # 黡->厌
<U9EEE> \xE9\xE9 |1 # 黮->殚
<U5304> \xD8\xA4 |1 # 匄->丐
<U84E7> \xCC\xF5 |1 # 蓧->条
<U80B8> \xCF\xA3 |1 # 肸->希
<U76A6> \xF0\xA8 |1 # 皦->皎
<U870E> \xD4\xB5 |1 # 蜎->缘
<U73E2> \xD2\xF8 |1 # 珢->银
<U63AF> \xB0\xB4 |1 # 掯->按
<U8DD0> \xCC\xA4 |1 # 跐->踏
<U5414> \xD2\xB2 |1 # 吔->也
<U834D> \xDC\xF1 |1 # 荍->荞
<U61F0> \xC1\xF4 |1 # 懰->留
<U6145> \xC9\xA7 |1 # 慅->骚
<U788F> \xC8\xB1 |1 # 碏->缺
<U700D> \xE4\xFD |1 # 瀍->潺
<U9784> \x96\xA2 |1 # 鞄->枹
<U9BC2> \xF6\xD5 |1 # 鯂->稣
<U86A1> \xF7\xF7 |1 # 蚡->鼢
<U7D1E> \xB5\xA2 |1 # 紞->耽
<U66A0> \xF0\xA9 |1 # 暠->皓
<U92D0> \xBA\xEA |1 # 鋐->宏
<U55A8> \xC1\xC1 |1 # 喨->亮
<U8211> \xCC\xF2 |1 # 舑->舔
<U94D3> \xC3\xA2 |1 # 铓->芒
<U9254> \xD4\xD2 |1 # 鉔->砸
<U5CCA> \xB8\xB7 |1 # 峊->阜
<U7869> \xD5\xDC |1 # 硩->哲
<U61FB> \xBC\xBD |1 # 懻->冀
<U64E9> \xE5\xA6 |1 # 擩->濡
<U97D2> \xC7\xCA |1 # 韒->鞘
<U619F> \xCB\xDA |1 # 憟->粟
<U5093> \xC9\xBF |1 # 傓->煽
<U51D8> \xCB\xB9 |1 # 凘->斯
<U7B9B> \xB9\xBF |1 # 箛->箍
<U891F> \xE9\xBD |1 # 褟->榻
<U6470> \xB3\xB8 |1 # 摰->掣
<U6370> \xB0\xD1 |1 # 捰->把
<U63BD> \xC5\xF6 |1 # 掽->碰
<U5810> \xD1\xC2 |1 # 堐->崖
<U51D4> \xB2\xD7 |1 # 凔->沧
<U74B1> \xC9\xAA |1 # 璱->瑟
<U5B7B> \xC4\xCB |1 # 孻->乃
<U6259> \xD5\xCC |1 # 扙->仗
<U667C> \xCD\xF3 |1 # 晼->腕
<U627A> \xB5\xD6 |1 # 扺->抵
<U5F7D> \xB5\xCD |1 # 彽->低
<U61ED> \xBF\xF5 |1 # 懭->旷
<U63F7> \xB2\xE5 |1 # 揷->插
<U6723> \xCD\xAB |1 # 朣->瞳
<U7074> \xBA\xE6 |1 # 灴->烘
<U82BA> \xB0\xC0 |1 # 芺->袄
<U5405> \xD0\xFA |1 # 吅->喧
<U5002> \xB2\xA2 |1 # 倂->并
<U4F75> \xB2\xA2 |1 # 併->并
<U7ADD> \xB2\xA2 |1 # 竝->并
<U5430> \xBA\xEA |1 # 吰->宏
<U6418> \xD6\xA7 |1 # 搘->支
<U7FC0> \xB3\xE5 |1 # 翀->冲
<U70D5> \xC3\xF0 |1 # 烕->灭
<U8691> \xC6\xE6 |1 # 蚑->奇
<U808A> \xD2\xDC |1 # 肊->臆
<U8DD8> \xB0\xED |1 # 跘->绊
<U79CF> \xBA\xC4 |1 # 秏->耗
<U5B45> \xCF\xCB |1 # 孅->纤
<U597C> \xE6\xB1 |1 # 奼->姹
<U7D6A> \xD2\xF0 |1 # 絪->茵
<U7E15> \xD4\xCC |1 # 縕->蕴
<U7E3A> \xC1\xAC |1 # 縺->连
<U75AA> \xB1\xD4 |1 # 疪->痹
<U93AF> \xC0\xC6 |1 # 鎯->榔
<U58C2> \xB5\xEE |1 # 壂->殿
<U8A27> \xD3\xC8 |1 # 訧->尤
<U4F39> \xB5\xAB |1 # 伹->但
<U63B9> \xC3\xCD |1 # 掹->猛
<U772B> \xC5\xD6 |1 # 眫->胖
<U59C1> \xD0\xEC |1 # 姁->徐
<U5ACF> \xC0\xCA |1 # 嫏->朗
<U7081> \xC6\xF8 |1 # 炁->气
<U67B1> \xCC\xA8 |1 # 枱->台
<U7756> \xE3\xB6 |1 # 睖->愣
<U6334> \xC3\xBF |1 # 挴->每
<U662B> \xEC\xE3 |1 # 昫->煦
<U87DE> \xB1\xEE |1 # 蟞->鳖
<U54F4> \xC1\xBC |1 # 哴->良
<U8D90> \xD1\xA8 |1 # 趐->穴
<U971A> \xCE\xED |1 # 霚->雾
<U7A85> \xD2\xA2 |1 # 窅->尧
<U7019> \xC7\xD7 |1 # 瀙->亲
<U59B1> \xD5\xD9 |1 # 妱->召
<U6E27> \xCC\xE4 |1 # 渧->啼
<U8DF1> \xD6\xC5 |1 # 跱->峙
<U8FE0> \xD5\xE2 |1 # 迠->这
<U670C> \xB7\xD6 |1 # 朌->分
<U5975> \xB6\xA1 |1 # 奵->丁
<U62A6> \xB1\xFC |1 # 抦->秉
<U6E81> \xC8\xD9 |1 # 溁->荣
<U5260> \xF7\xF4 |1 # 剠->黥
<U73BD> \xB9\xB4 |1 # 玽->勾
<U510D> \xC9\xB5 |1 # 儍->傻
<U7820> \xD7\xE6 |1 # 砠->祖
<U5226> \xBD\xD9 |1 # 刦->劫
<U7BF8> \xB2\xCE |1 # 篸->参
